r_R,alpha,phi,Cl,Cd,gamma,Cy,Cx,a,aline,V_i_x,V_i_y,V_i_z
0.2625,9.737235661497444,57.137764338502556,1.5691920554179781,0.01781957705839591,5.610668297602502,1.3084170502030201,0.8664444972711561,-0.12960058185678003,-0.2665450958793416,-7.776034911406804,1.7036344290422452,-7.4970120130783195
0.2875,9.406273808488585,56.218726191511415,1.540127152287368,0.017303159760393334,5.587476131910085,1.270480723927196,0.8707294497603253,-0.11817279875889997,-0.17159366703648815,-7.090367925533999,2.041473576926985,-9.765519829791762
0.3125,10.508677054935426,53.866322945064574,1.6338663978190406,0.019116312863278598,6.056914379022838,1.3083091217219973,0.9788830784923548,-0.1164631126462371,-0.07995594004258666,-6.987786758774227,2.4843481706022414,-10.382465697259908
0.3375,11.798071519264127,51.32692848073588,1.7203055044439421,0.021731718772766362,6.544127177100853,1.329504478177612,1.091943743389109,-0.1155956440002669,-0.0009409774176845076,-6.9357386400160115,3.035713801043994,-10.542817907148233
0.3625,13.002695743426635,48.87230425657337,1.778012142926548,0.02516002816554708,6.964575004998481,1.3227309759238888,1.1884203687008161,-0.11336719347959112,0.06574128199616125,-6.802031608775469,3.682779991452446,-10.488517952596673
0.3875,14.052361622675242,46.57263837732475,1.8183708486802572,0.02945809150809724,7.357161279063202,1.3003349028679303,1.271404523693741,-0.1089282092877436,0.12164038105846231,-6.535692557264615,4.3942531005923895,-10.26128951330167
0.41250000000000003,14.917449553502962,44.45755044649703,1.8414013397305682,0.03428809328529801,7.716319303969956,1.265208044293576,1.3383509151031718,-0.10177293354797967,0.1682485664304212,-6.106376012878787,5.118884289391611,-9.871460572382567
0.4375,15.58430926224873,42.54069073775127,1.8518564411308416,0.03912674584058405,8.053294802862155,1.2232369204550257,1.390897054865516,-0.09168823254819736,0.20697248370199473,-5.501293952891843,5.78762788594631,-9.332171765480526
0.4625,16.050806503531398,40.8241934964686,1.854488225692231,0.04323432311644402,8.377942414274793,1.179637250816952,1.431590633669933,-0.07884968959639604,0.23923567447506688,-4.730981375783762,6.323320224688066,-8.674189353508396
0.48750000000000004,16.328903839208593,39.29609616079141,1.8538764115537412,0.04610428762063268,8.698842820781808,1.1384327688718856,1.4638832553899486,-0.06392232245451734,0.26655315938784085,-3.8353393472710393,6.659229050693522,-7.946974867718779
0.5125,16.444939332902862,37.93006066709714,1.8536211334676136,0.047301773915557545,9.021366398583394,1.1021094423938456,1.491141690530999,-0.04800669159446469,0.2904689600476965,-2.8804014956678823,6.760646621409562,-7.209321559715622
0.5375000000000001,16.434606853052316,36.690393146947684,1.853643864923285,0.047195142723499894,9.335941910088085,1.0696903329940457,1.5145908856729307,-0.032378658417105854,0.31236441501412204,-1.942719505026356,6.637135498192567,-6.513223490666495
0.5625,16.329214833177808,35.54578516682219,1.8538757273670088,0.04610749707839498,9.635948054402375,1.0402414091503462,1.5352129899451388,-0.0180449063868503,0.3331925032840636,-1.0826943832110238,6.3363977969682015,-5.897737622705586
0.5875,16.1494293649491,34.4755706350509,1.854271255397112,0.04425211104627471,9.918409688156077,1.0131391381974828,1.5536502903087603,-0.005500177958424279,0.3534111486014897,-0.33001067750545654,5.923876214387595,-5.384558791349663
0.6125,15.907491592096214,33.467508407903786,1.853989444507835,0.041912577523869364,10.178948494071273,0.9874450407174574,1.5697088316193115,0.0052130054692574035,0.37312149414912243,0.31278032815544377,5.461456587396537,-4.976233708190329
0.6375,15.609865636630047,32.51513436336995,1.8520251132017582,0.039347041787751,10.41352287603312,0.9623255492112931,1.5828691502972112,0.014338070415907733,0.3922374856546381,0.8602842249544729,4.995275916122192,-4.662417930526347
0.6625000000000001,15.258987994866622,31.61601200513337,1.8474438079178659,0.03665989332293701,10.618528224070962,0.9372553692703675,1.5924650526672104,0.022254654891848746,0.4106075238952913,1.3352792935109272,4.553541879002555,-4.428584865865605
0.6875,14.8550250929814,30.7699749070186,1.8399655771385721,0.03390855256532691,10.793601949749348,0.9121777172502821,1.5982975089588354,0.02937181870599237,0.42808571382730587,1.7623091223595417,4.150039563026693,-4.261456659278298
0.7125,14.398944263404427,29.976055736595573,1.828768327902133,0.031232594628630667,10.934698595295261,0.8866674768584154,1.599746810463059,0.03602599763045777,0.4445855707129276,2.1615598578274704,3.789063801185522,-4.148272244476427
0.7375,13.892185092876726,29.232814907123274,1.8128971003621375,0.02871992700494253,11.036227036227988,0.86028333935194,1.5960367498093802,0.04248235672550349,0.4600692496522225,2.548941403530213,3.4695695461505074,-4.078436886207627
0.7625,13.33465677296336,28.54034322703664,1.7918217217552757,0.0263949231954237,11.094427857672898,0.8329045525796281,1.5866920875887238,0.04899888766954241,0.4745074624928287,2.9399332601725425,3.1879782940266526,-4.046678546480545
0.7875000000000001,12.724055373277817,27.900944626722175,1.7650961693200906,0.02427249608702346,11.105541827512774,0.8045158303575648,1.5712758891164946,0.05586751261405487,0.4878581824528123,3.3520507568432922,2.9398305893217853,-4.0537780913059
0.8125,12.057521976323187,27.317478023676813,1.733018576839836,0.022338760654651995,11.070241810430113,0.7754704524246918,1.5499993501017348,0.06338296753787787,0.500083232442934,3.8029780522726684,2.7206525033620923,-4.1036643135528115
0.8375000000000001,11.34365637094308,26.781343629056913,1.695037364498318,0.020747932124142745,10.98421722855746,0.7452392380478363,1.5225638317675594,0.07145427340032162,0.511324912978351,4.287256404019305,2.5263512460838524,-4.184019404707345
0.8625,10.600878940321113,26.274121059678887,1.6409475026166616,0.01928965240780369,10.779947197572131,0.7090952698150429,1.4799542882669734,0.07960655181049581,0.5218790419059846,4.7763931086297475,2.353353753183065,-4.266938237138341
0.8875000000000001,9.814188756616268,25.810811243383732,1.575871584074292,0.01794270201058603,10.487142440576987,0.6699833456081237,1.4264695954194062,0.08845837515165234,0.5315374942959106,5.307502509099134,2.198616997746417,-4.378145395351017
0.9125000000000001,8.964081862319244,25.41091813768075,1.5000452459406175,0.016661869695507786,10.104376775109515,0.6286304169089414,1.3620709073714512,0.09884135045138409,0.5400257772762,5.9304810270830535,2.059581649359772,-4.5541524457172216
0.9375000000000001,8.036690337653035,25.088309662346965,1.4122222724146913,0.015465496018689762,9.62055453684959,0.5847965183995244,1.285544227297923,0.11142603774790572,0.5471642936611362,6.685562264874349,1.934106346924893,-4.828078096069533
0.9625000000000001,7.090500043920141,24.784499956079856,1.3185681044007982,0.014415930046555349,9.076150941648722,0.5396642135363596,1.2031592586230653,0.1239090567326675,0.5539723254904849,7.434543403960055,1.8204005620495103,-5.143674470775929
0.9875000000000002,7.498951507570268,23.126048492429735,1.3594949410585409,0.014848888598024485,9.47087246362364,0.5202931070512875,1.256082030367157,0.07895766288471884,0.5826516769175125,4.7374597730831365,1.716963762829398,-3.532287230283312
