r_R,alpha,phi,Cl,Cd,gamma,Cy,Cx,a,aline,V_i_x,V_i_y,V_i_z
0.2625,-1.013190786182406,67.8881907861824,0.4325909740607327,0.010269472368552704,1.645524074266165,0.3969087840937655,0.17234799102615214,0.02132395702871337,-0.48616005722783284,1.2794374217227942,1.8018453497708866,-16.335690333672787
0.2875,0.7416473840410873,64.88335261595891,0.6320061543966429,0.010552828319850683,2.452658842762754,0.5677678540264115,0.2778179355531693,0.02737306747593382,-0.3649655826499745,1.6423840485560282,2.5719107602950184,-16.263148372199257
0.3125,1.936039894336126,62.438960105663874,0.7662364681656462,0.010926974361961005,3.06833065005542,0.674226895305282,0.3642194634594238,0.04734069785983497,-0.2801749695926372,2.840441871590099,3.119326383582769,-16.28958566019409
0.3375,2.8269895966678575,60.29801040333215,0.865165049391465,0.011310415214467216,3.582689382183991,0.7458905572228209,0.4385040077658236,0.07125214070205832,-0.21240941148805104,4.27512844212351,3.118414533996736,-16.34953186968982
0.3625,3.531393893433318,58.34360610656669,0.9427219343842317,0.011668208458191325,4.023110711863628,0.7963313211239976,0.5046951749865258,0.09235025718684908,-0.15102638136710778,5.541015431210944,2.8174899326765344,-16.53128663402993
0.3875,4.103027575690511,56.52197242430948,1.0049475836897133,0.012003877096928116,4.405323570771195,0.8316026459457456,0.5643587319118808,0.11023435965992845,-0.09439557985244562,6.614061579595716,2.482272070941523,-16.814200181804672
0.41250000000000003,4.5633326415263085,54.811667358473684,1.054676592643315,0.012294332849068416,4.740579714642194,0.8548625734602409,0.6178218563525014,0.12633604280506328,-0.04297861117085322,7.580162568303784,2.2075595457159327,-17.143394647714228
0.4375,4.928462333606618,53.19653766639338,1.0937454696959081,0.012549923633524633,5.036503075740538,0.8682384082456657,0.6652809327724362,0.14163406193687234,0.00326379432594881,8.498043716212342,2.0004790560848065,-17.472799525810913
0.4625,5.209542988345781,51.66545701165422,1.1236115567646527,0.012759252671142795,5.29818388079663,0.8734498402073758,0.7069307644073232,0.15658798881859126,0.04479120151597349,9.395279329115489,1.8463887179964293,-17.776276338083726
0.48750000000000004,5.415691630954619,50.20930836904538,1.1454633128811897,0.01291592563952551,5.52898052727746,0.8718937020173954,0.7430036303237539,0.1713585948897638,0.08220302518211531,10.281515693385822,1.7302042093427312,-18.039311156645134
