i,CT,TC,CP,PC,CQ,QC,eta,it
10,0.14332419012209632,0.03583104753052409,0.3146001373102814,0.03932501716378518,0.050070166950320294,0.012517541737580075,0.9111514784924564,66.0
15,0.14377609810011432,0.03594402452502859,0.31563128508283744,0.03945391063535468,0.05023427921538079,0.012558569803845199,0.9110383215807033,116.0
20,0.1434628236868543,0.035865705921713585,0.31498055044964796,0.039372568806205994,0.05013071158186759,0.012532677895466901,0.9109313161212979,196.0
30,0.14307389462916195,0.03576847365729049,0.3141700111868787,0.03927125139835984,0.0500017102516278,0.012500427562906952,0.9108055481721765,417.0
40,0.14274775060435635,0.035686937651089094,0.31347982975882804,0.039184978719853505,0.04989186446572331,0.012472966116430829,0.9107300505692991,731.0
60,0.1424151759999115,0.03560379399997788,0.31277603382114316,0.039097004227642895,0.04977985186331276,0.012444962965828192,0.9106527393422333,1631.0
