r_R,alpha,phi,Cl,Cd,gamma,Cy,Cx,a,aline,V_i_x,V_i_y,V_i_z
0.2625,-3.894990918034921,70.76999091803492,0.10139704624237711,0.010674296912131873,0.3698490029959615,0.092223796570057,0.043474969205875846,-0.0015180972012994731,-1.4215364635156504,-0.09108583207796536,-0.04535828381098144,-3.8423616539671004
0.2875,-3.448974229412528,69.07397422941253,0.1527781687716768,0.010526733299647258,0.5577402173342287,0.13894152509021993,0.06439901841482254,-0.0023070070426283174,-1.2092211689365318,-0.1384204225576978,-0.012425258586715145,-4.206160549130565
0.3125,-3.104055167049168,67.47905516704917,0.19251284475593583,0.010437054343432785,0.7041087583161548,0.17383412164126139,0.08337760882036585,-0.002277278925516657,-1.0325440370444845,-0.13663673553099837,0.11686006433701406,-4.630572257941858
0.3375,-2.807407414423274,65.93240741442328,0.22668666585843883,0.01037533333459619,0.8319093980792294,0.20274845114398868,0.10191936802459636,-0.001183000781216581,-0.8840493353467631,-0.07098004687299783,0.33508175937816426,-5.041748666908484
0.3625,-2.541057448812701,64.41605744881271,0.25737018189677685,0.010327390340786285,0.9495797433395494,0.2276762504852559,0.12045576153014015,0.0013255086082364365,-0.7585203237407672,0.07953051649417844,0.6248599890786916,-5.4002321852144695
0.3875,-2.2976330902249344,62.92263309022493,0.28533172124217754,0.010299763309022493,1.060803166172062,0.24936889509624827,0.13905189833196072,0.005532008287631562,-0.6519782147726165,0.3319204972578941,0.9600794144336894,-5.677678285248719
0.41250000000000003,-2.0763334520663506,61.45133345206634,0.31073691970278294,0.010277633345206635,1.1669395498077093,0.2680431512275386,0.15753073380633753,0.011637352137664259,-0.5612808262701152,0.6982411282598525,1.3076998263944921,-5.853966800173551
0.4375,-1.8788284495697525,60.00382844956975,0.33341049398939243,0.01026515313798279,1.2678680483680072,0.283621113580844,0.1755761794844588,0.01974824530946262,-0.48386719040262993,1.1848947185677576,1.6245424890971116,-5.913739020724916
0.4625,-1.7081385480035394,58.58313854800354,0.3530056946891937,0.010258325541920141,1.3623221716866625,0.2959068908947449,0.19276245912243847,0.02974927049092191,-0.417424316055381,1.784956229455315,1.8474946809725576,-5.850938002270976
0.48750000000000004,-1.5669921661449777,57.19199216614498,0.36920929932655655,0.0102526796866458,1.4478590123551383,0.3047618853553278,0.20866436539244032,0.040803379759413394,-0.3591713040037887,2.4482027855648054,1.8958958392983443,-5.688318164036555
0.5125,-1.455527095582248,55.83052709558225,0.38198770026539086,0.01025177891617671,1.5211455404022656,0.31029112213352156,0.22302269312809458,0.050944420171528115,-0.3054673122742986,3.056665210291689,1.7387034519798217,-5.497817049119488
0.5375000000000001,-1.3725771060467409,54.49757710604674,0.39147717906825286,0.01025509691575813,1.5795818702951043,0.31274251484620064,0.23569401382229135,0.05848476389725921,-0.25367875245921145,3.509085833835548,1.471333238548558,-5.353538685941766
0.5625,-1.3182064428064066,53.19320644280641,0.3976971829429471,0.010257271742287744,1.6227321662450325,0.31227503972555615,0.24648034507593783,0.06359633956909438,-0.2037448170443903,3.81578037414566,1.2172710909494238,-5.262270541750801
0.5875,-1.2922324666959497,51.91723246669595,0.40066860580998337,0.010258310701332162,1.651511128614846,0.30904718313946095,0.2552065892835163,0.06724787774394558,-0.15647846976874025,4.034872664636741,1.0222544045816984,-5.191909638335305
0.6125,-1.293498989402572,50.66849898940257,0.4005237156123458,0.010258260040423897,1.6669898258279223,0.3033000855448457,0.2617891074423562,0.07009434191350783,-0.11223382262990045,4.20566051481048,0.8811654026420461,-5.116065777588644
0.6375,-1.3203724790991274,49.44537247909913,0.3974493883910598,0.010257185100836034,1.6699851112741715,0.29530770443563986,0.2662040305471972,0.07241180592379792,-0.07093107415139621,4.344708355427871,0.7783663699442611,-5.021201534912961
0.6625000000000001,-1.3712334389161214,48.246233438916114,0.3916308945879957,0.010255150662443355,1.6610555283143253,0.2853327534435501,0.2684495213689632,0.074280007177145,-0.03231380170287945,4.456800430628706,0.7009819888948607,-4.9016467701367805
0.6875,-1.4446526569000184,47.06965265690002,0.38323173605063793,0.010252213893723999,1.64057596725567,0.2736125999231453,0.2685289864603174,0.07569791775015289,0.003911907586351182,4.541875065009181,0.6403151711982997,-4.755600666745094
0.7125,-1.5392867973146167,45.91428679731462,0.372389875668282,0.010251571471892585,1.6087951891635608,0.2603552102809708,0.26644789114840695,0.07663284081985,0.038027011864989024,4.597970449191002,0.5907542025765901,-4.58298117996463
0.7375,-1.6540015590400472,44.77900155904005,0.3592206210222026,0.010256160062361602,1.5658784593623853,0.2457455863368282,0.26220936326296623,0.07704357800973649,0.07028171191522203,4.622614680584188,0.5487022926090617,-4.384671690260032
0.7625,-1.7881566189189115,43.66315661891891,0.34381962014810896,0.010261526264756756,1.5119324803931355,0.22995573517787282,0.2558077207178788,0.07689501433739543,0.10088831620818894,4.6137008602437275,0.5118794256960223,-4.162450763118166
0.7875000000000001,-1.9411358792737516,42.566135879273745,0.3262576010593733,0.01026764543517095,1.4469856777020063,0.2131318586084606,0.24723320496628834,0.07615317928048038,0.1300312482207132,4.5691907568288155,0.4787991004083514,-3.9183093908354274
0.8125,-2.112578056129877,41.48757805612988,0.30657603915629017,0.010281257805612988,1.3709685196967636,0.1953919606811899,0.2364668132063884,0.07479139468301832,0.15786651935293738,4.487483680981105,0.4485260758155714,-3.6546293861195056
0.8375000000000001,-2.302469223371368,40.42746922337136,0.28477653315696694,0.010300246922337136,1.2836630272830993,0.17683245892848884,0.2234592812860243,0.07279357257162311,0.18452346272483466,4.367614354297386,0.4205276856631133,-3.374248048225833
0.8625,-2.511283385983596,39.386283385983596,0.26080015393468975,0.010322031009477046,1.184604094094952,0.15751181658200344,0.20811845726305916,0.07015869756481319,0.21010529108301612,4.2095218538887815,0.3946028117378473,-3.080593106417651
0.8875000000000001,-2.739701454187177,38.36470145418718,0.23448639247763722,0.010363146261753692,1.072883039303499,0.13741196701403724,0.1902871892139672,0.06689533088595168,0.23469671809729586,4.013719853157099,0.3707935217124744,-2.7773951854784715
0.9125000000000001,-2.99124040367235,37.36624040367234,0.20550910549694526,0.010408423272661024,0.9468405899618136,0.11645272165906959,0.16964990815020417,0.06308741706445198,0.2583205814154397,3.7852450238671196,0.3497575564990499,-2.471505211299156
0.9375000000000001,-3.271888112774846,36.396888112774846,0.17317848940833774,0.010480690909321461,0.8031255285062554,0.09432363466987431,0.14561485507445512,0.05889343085584109,0.2809466720928291,3.533605851350467,0.3326810917825318,-2.1726070313164674
0.9625000000000001,-3.595356401151694,35.47035640115169,0.13591494258732487,0.010572421176391577,0.6341965162523875,0.07025860275870337,0.11682626608105537,0.054691500675060345,0.3024026357633458,3.281490040503625,0.32183179653711225,-1.8989498145031654
0.9875000000000002,-4.002739638598019,34.62773963859802,0.08898384570578861,0.01071120544098313,0.4175980753610875,0.04175053911325192,0.07930792647865258,0.051653165265862944,0.32202207728486076,3.0991899159517753,0.32249804725414877,-1.6968753903564844
