r_R,alpha,phi,Cl,Cd,gamma,Cy,Cx,V_i_x,V_i_y,V_i_z
0.259375,-3.9601321409730446,70.99138214097304,0.09389277735990527,0.010696444927930836,0.34235739854627406,0.08528882330103649,0.04069501436758037,-0.10066146598765645,-0.17378658666180333,-3.8165732806006747
0.27812499999999996,-3.5492602531063824,69.64301025310638,0.14122521884214476,0.01055674848605617,0.5157365121111004,0.12873241139081307,0.059025194901126635,-0.10169168263734087,-0.19991067037699187,-3.994546705435826
0.296875,-3.234672830228547,68.39092283022855,0.17746568995767137,0.010471014935859424,0.6495053226751374,0.16113689354900096,0.07509071049948363,-0.058280625462625614,-0.2000967657959181,-4.242792606956754
0.31562500000000004,-2.9681028812379395,67.18685288123794,0.20817454808138935,0.01040425851862283,0.7640584214415456,0.18785591608062913,0.09030529252331038,0.014542669819606823,-0.18346530503088287,-4.508986890556015
0.334375,-2.7328711105910344,66.01412111059103,0.23527324805991284,0.010361916799906386,0.8664914189062092,0.21074414721733567,0.10510839636331343,0.1101005564928426,-0.15572361106067967,-4.774335100061497
0.353125,-2.5214348026335287,64.86518480263352,0.2596307107366175,0.010323858264474035,0.9600173534900958,0.23066145026494062,0.1196243427097529,0.223391614562368,-0.12044727299794385,-5.030184626823804
0.37187499999999996,-2.3293191021103894,63.73556910211039,0.2816941670777273,0.010302931910211038,1.0462745243496305,0.2480532343123422,0.13389304357862383,0.35001896577750224,-0.07975235008492565,-5.271391170337778
0.390625,-2.154899552698673,62.62364955269867,0.30171753135019236,0.010285489955269867,1.1261694269593245,0.2631971450293972,0.1478733338910324,0.4869626338148284,-0.0346526998868441,-5.4958863572142
0.40937500000000004,-1.996963252427399,61.528213252427406,0.3198486186213346,0.010269878530097096,1.2001987881142784,0.2762676392619446,0.16150789682127306,0.6315771719148818,0.014335755180461117,-5.702093971564163
0.4281249999999999,-1.8547361053766238,60.448486105376624,0.3361762951027636,0.010264189444215064,1.268624991553085,0.28738164050049486,0.17473307551008033,0.7816536590572339,0.0669903931872798,-5.888935004234106
0.446875,-1.7277366957279057,59.3839866957279,0.3507558273304364,0.010259109467829116,1.3315706812468833,0.29663558881451757,0.1874626020890468,0.9353287806075238,0.12324217221304,-6.0556788810666475
0.46562499999999996,-1.6156516684330384,58.33440166843304,0.3636231884638872,0.010254626066737322,1.3890725900731353,0.30410604174459793,0.19961587090921673,1.090985397321669,0.18309342100222445,-6.201822962425205
0.484375,-1.5182624582519892,57.29951245825199,0.37480346979267165,0.01025073049833008,1.4411137293088006,0.30986150662082235,0.2111126835579748,1.2471804584577455,0.24657404000867814,-6.327025066849738
