r_R,alpha,phi,Cl,Cd,gamma,Cy,Cx,Ct,a,aline,V_i_x,V_i_y,V_i_z
0.2625,-4.77474745924917,72.64974745924917,-5.090730550437114e-05,0.011072868678809569,-0.0001833752738423855,-0.003350655021256233,0.010553867692009696,0.006877506184039152,-0.0031915691879483843,-2.2635952039193645,-0.19149415127690625,-0.028813508201453543,0.35987897498680516
0.2875,-4.735892554184602,71.3608925541846,0.0044251777579338535,0.011052664128175993,0.015931978161102305,0.000660580025086756,0.01188727119864089,0.007130730714893816,-0.0018380178407024772,-1.9838505485986255,-0.11028107044215031,0.020184952900361434,0.1293489403785759
0.3125,-4.68425326059095,70.05925326059095,0.010374024379922592,0.011025811695507294,0.037358641137729263,0.005991725455405438,0.01390281019963447,0.007747697095307535,-0.0002912300077677621,-1.7493964766129442,-0.017473800466066332,0.07634933281405229,-0.054984549596465385
0.3375,-4.626087028037901,68.7510870280379,0.017074774370033814,0.010995565254579709,0.06156184310012752,0.011928924813149397,0.01643627475608487,0.008580906214218692,0.0016556127680762422,-1.550695072764492,0.09933676608457655,0.12629983975040357,-0.1919036745059866
0.3625,-4.568890022527206,67.4438900225272,0.023663869404865815,0.010965822811714147,0.08549640323075985,0.01764732764697767,0.019204161321668606,0.009462336297133724,0.004007382300740714,-1.380360783688698,0.24044293804444608,0.14678042737830926,-0.2857222000465062
0.3875,-4.51611837122379,66.14111837122378,0.02974316363501939,0.01093838155303637,0.10773883391263966,0.022777030543622512,0.022034310827303706,0.010306753679736646,0.006380998918967817,-1.2320535672341957,0.3828599351380635,0.11560234607377752,-0.34642991887387675
0.41250000000000003,-4.476667106297157,64.85166710629716,0.03429261593330811,0.01091973352677075,0.12451314099741184,0.026401555978010652,0.024457758069476206,0.010902419982379728,0.008122390590472373,-1.1004057532172058,0.4873434354283447,0.03428984214249497,-0.4013442354020224
0.4375,-4.45157220831198,63.57657220831198,0.03718856716079754,0.010908691771657271,0.1352424665719467,0.028449089978405638,0.026318023539824424,0.011204690785119828,0.0086701241696987,-0.981458549800929,0.5202074501819216,-0.05428735973532448,-0.46991963249435076
0.4625,-4.441995188856801,62.3169951888568,0.03829375520592519,0.010904477883096992,0.13941588149123382,0.028844329536971584,0.027446748063055904,0.011187226108501884,0.008349961824165808,-0.8737577432876453,0.5009977094499514,-0.09381413016930419,-0.5477461716916006
0.48750000000000004,-4.444198708284148,61.06919870828415,0.03803946906400934,0.010905447431645026,0.13869273885208427,0.0280167757849818,0.02794620305104352,0.010946155880976905,0.0079800977763278,-0.7770155518697734,0.4788058665796683,-0.08048769364436208,-0.6053931413884814
