r_R,alpha,phi,Cl,Cd,gamma,Cy,Cx,Ct,a,aline,V_i_x,V_i_y,V_i_z
0.2625,-4.353437657754569,72.22843765775457,0.048513294295122786,0.010865512569412011,0.1755106386202143,0.042881887432356235,0.025154379678298,0.016534725917779894,-0.001189525814930259,-1.8664277629649462,-0.07137154889581794,0.02670285141480708,-1.698905567391715
0.2875,-4.123258002311232,70.74825800231123,0.07507602653328384,0.010764233521016943,0.271547302626657,0.06732852369939087,0.034916305356980246,0.021139262990518715,-0.0008933493804228476,-1.6179492430535887,-0.053600962825372474,0.08700966319176828,-1.9619635580418942
0.3125,-3.9334317983220615,69.30843179832206,0.09696865683329853,0.010687366811429502,0.35103738888670905,0.08693755034951461,0.04426062083434516,0.02492528626127036,9.841238771701732e-05,-1.4109041108480427,0.005904743263025724,0.2038238690283837,-2.2251274385981077
0.3375,-3.7606591285713336,67.88565912857133,0.11687206838858238,0.010628624103714254,0.4241286419564413,0.10427309761593767,0.053843933115446434,0.02847839409299703,0.0021548044942663047,-1.2369086918276277,0.12928826965597118,0.35745060624578207,-2.447023250561562
0.3625,-3.598995050961115,66.47399505096111,0.13549577012927957,0.010573658317326779,0.4938116476560888,0.12001258904576649,0.06377996898454963,0.03197497612776724,0.00547538479690135,-1.0895398276750936,0.32852308781407963,0.5122467356579874,-2.6075259256169883
0.3875,-3.4489470937108777,65.07394709371087,0.1527812948045069,0.010526726244364829,0.5600944532777306,0.13411362488930814,0.07393559106827638,0.03542019961720322,0.009907869500527022,-0.963347938819332,0.5944721700316159,0.6271050675783736,-2.702315061792181
0.41250000000000003,-3.3137726409439168,63.68877264094392,0.16835339176326078,0.010491580886645419,0.6214586401242231,0.14626155138411817,0.08402675987092417,0.038710904383574586,0.014892355228795617,-0.8534601354181073,0.8935413137277366,0.6700433501230398,-2.743668441399382
0.4375,-3.197860198615615,62.322860198615615,0.18170650511948114,0.01046144365164006,0.6755142887593486,0.15605624596651113,0.09366506232770172,0.04166854101559275,0.01962019555171124,-0.7556890191367567,1.1772117331026724,0.6382651391700556,-2.757505865631772
0.4625,-3.103514492645367,60.97851449264537,0.19257513044725372,0.010436913768087796,0.7206914418352908,0.16333164326400668,0.10255186173082646,0.04416493993882664,0.023499229365359087,-0.6671051926344094,1.4099537619215505,0.5637741352580373,-2.766076645563813
0.48750000000000004,-3.031712863262051,59.65671286326205,0.20084667815221172,0.010418245344448135,0.7562897209490439,0.16807043475765943,0.1104547731934052,0.046143696994535084,0.0264902187051137,-0.586234592315948,1.5894131223068197,0.4848109966591415,-2.7750357340051406
