CT,TC,CP,PC,CQ,QC,eta,it,J
0.2806491741011032,0.19489525979243275,0.5138397900211237,0.2973609895955577,0.0817801425391634,0.056791765652196805,0.6554163680229571,46,1.2
0.2546520578107693,0.13633959073747307,0.49136557361044964,0.19249387686600794,0.07820325990528763,0.04186968109146867,0.7082801435412773,50,1.3666666666666667
0.22695074865447148,0.09652914640313061,0.4580809401119791,0.12706691648540555,0.07290584595500395,0.03100910272188259,0.7596717467698809,49,1.5333333333333332
0.19761350705669195,0.06837837614418407,0.4143509309553682,0.08433766150119443,0.06594599883627549,0.022818684718434425,0.810769173902405,44,1.7
0.16666245917548572,0.047830425146025875,0.3603544151608095,0.05540252146354465,0.05735218643783187,0.016459492281265524,0.8633257816162522,45,1.8666666666666667
0.1340953603866684,0.03243370716151614,0.29615652996605707,0.03522861521045173,0.047134775673041016,0.011400510106352303,0.9206636981828797,43,2.033333333333333
0.0999521305301605,0.02065126663846291,0.22185624446126465,0.020835485017023345,0.035309517961814196,0.0072953549507880555,0.9911584309935707,39,2.2
0.06414537181928741,0.011452258408521855,0.13725133586514382,0.01035393175498625,0.021844228548903583,0.0038999812922065513,1.1060782202863826,38,2.3666666666666667
0.026872427393850047,0.004187185708875527,0.04278959895899997,0.0026318504243808306,0.006810176187244666,0.001061142411447403,1.5909664432622932,38,2.533333333333333
-0.011973906860422568,-0.0016425112291388977,-0.06182426533420607,-0.0031409980863794157,-0.009839637430963806,-0.0013497445035615641,0.5229265297108784,32,2.7
